web-scraper-order,web-scraper-start-url,link,link-href,title,area,price,rooms,address,advertiser
"1598196158-3038","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=10&rows=100","Graz Altstadt: Penthouse mit Schloßbergblick","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/graz-altstadt-penthouse-mit-schlossbergblick-328805502/","Graz Altstadt: Penthouse mit Schloßbergblick","264 m","2.963,20","5 Zimmer","8010
    
    
        Graz","Hier Zuhause e.U."
"1598196184-3971","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=1&rows=100","WOHNEN IN TOP LAGE *WALTENDORF*!! 2 SONNIGE BALKONE!! TOLLE AUFTEILUNG...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnen-in-top-lage-waltendorf-2-sonnige-balkone-tolle-aufteilung-video-besichtigung-ab-sofort-beziehbar-402363783/","WOHNEN IN TOP LAGE *WALTENDORF*!! 2 SONNIGE BALKONE!! TOLLE AUFTEILUNG...","100 m","996,78","3 Zimmer","8042
    
    
        Graz","PW Projekt Wohnen"
"1598196105-1125","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","TOP WG-fähig! 3-Zimmer, 90m² Whg. mit Wohnküche u. 2 Balkonen, € 820, - inkl. BK/ HK","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/top-wg-faehig-3-zimmer-90m-whg-mit-wohnkueche-u-2-balkonen-euro-820-inkl-bk-hk-385352516/","TOP WG-fähig! 3-Zimmer, 90m² Whg. mit Wohnküche u. 2 Balkonen, € 820, - inkl. BK/ HK","90 m","700,-","3 Zimmer","8041
    
    
        Liebenau","Sutter Immobilien"
"1598196105-1175","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","Single-Wohnung bei der TU - Petersgasse 15 - Top 21","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/single-wohnung-bei-der-tu-petersgasse-15-top-21-398133993/","Single-Wohnung bei der TU - Petersgasse 15 - Top 21","21 m","322,07","1 Zimmer","8010
    
    
        Graz","IVV Verkauf und Vermietungs GmbH"
"1598196172-3523","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=5&rows=100","NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN REININGHAUSGRÜNDEN - TOP AUSSTATTUNG -...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/neue-2-zimmer-erstbezugswohnung-in-den-reininghausgruenden-top-ausstattung-provisionsfrei-401998807/","NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN REININGHAUSGRÜNDEN - TOP AUSSTATTUNG -...","50 m","671,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196136-2190","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=18&rows=100","Schnell am Hauptplatz - 3-4 ZIMMER und KÜCHE - NEU SANIERT - Parkplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schnell-am-hauptplatz-3-4-zimmer-und-kueche-neu-saniert-parkplatz-400446142/","Schnell am Hauptplatz - 3-4 ZIMMER und KÜCHE - NEU SANIERT - Parkplatz","103 m","749,-","3 Zimmer","8020
    
    
        Graz","Immobilien Huber"
"1598196093-773","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Annenstraße 32/34 - Helle Maisonettenwohnung mit Ausblick","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/annenstrasse-32-34-helle-maisonettenwohnung-mit-ausblick-397023383/","Annenstraße 32/34 - Helle Maisonettenwohnung mit Ausblick","71 m","668,63","2 Zimmer","8020
    
    
        Graz","Wesiak Gesellschaft m.b.H."
"1598196107-1234","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Tolle Kleinwohnung ideal für Single oder Pärchen - Provisionsfrei","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/tolle-kleinwohnung-ideal-fuer-single-oder-paerchen-provisionsfrei-391952515/","Tolle Kleinwohnung ideal für Single oder Pärchen - Provisionsfrei","45 m","499,-","1 Zimmer","8041
    
    
        Graz","RIOG Rudolf Immobilien OG"
"1598196102-1032","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Graz-St. Peter : Garconniere mit Balkon bei TU-Inffeld - provisionsfrei!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/graz-st-peter-garconniere-mit-balkon-bei-tu-inffeld-provisionsfrei-358493938/","Graz-St. Peter : Garconniere mit Balkon bei TU-Inffeld - provisionsfrei!","34 m","380,59","1 Zimmer","8042
    
    
        Graz","GGW Gemeinn. Grazer Wohnungsgenossenschaft mbH"
"1598196085-466","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","2-Zimmerwohnung in der in der Nähe des Augarten-Parks","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmerwohnung-in-der-in-der-naehe-des-augarten-parks-396090540/","2-Zimmerwohnung in der in der Nähe des Augarten-Parks","53 m","545,-","2 Zimmer","8010
    
    
        Graz","Privat"
"1598196102-1023","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Provisionsfrei/ Nachmieter ab September gesucht","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-nachmieter-ab-september-gesucht-397976995/","Provisionsfrei/ Nachmieter ab September gesucht","55 m","605,-","2 Zimmer","8010
    
    
        Geidorf","Privat"
"1598196167-3324","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","Provisionsfreier Neubau","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfreier-neubau-388215426/","Provisionsfreier Neubau","46 m","618,19","2 Zimmer","8020
    
    
        Eggenberg","S-Commerz Beratungs- u Handels GesmbH"
"1598196167-3351","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","Altbauwohnung in Eggenberg","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/altbauwohnung-in-eggenberg-394143300/","Altbauwohnung in Eggenberg","48 m","498,83","1 Zimmer","8020
    
    
        Graz","RE/MAX Classic, Marchel & Partner Immobilien GmbH"
"1598196119-1675","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Top 2-Zimmer Altbauwohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/top-2-zimmer-altbauwohnung-392472716/","Top 2-Zimmer Altbauwohnung","80 m","700,-","2 Zimmer","8010
    
    
        Graz","Immobilienmaklerbüro Kom.-Rat Luise Eder"
"1598196161-3100","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=9&rows=100","Mietwohnung Nähe Kreuzschwestern","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/mietwohnung-naehe-kreuzschwestern-401777658/","Mietwohnung Nähe Kreuzschwestern","75 m","715,-","3 Zimmer","8010
    
    
        Graz","Gewerblicher Anbieter"
"1598196105-1143","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","2 Zimmer Wohnung in Eggenberg","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-wohnung-in-eggenberg-398245681/","2 Zimmer Wohnung in Eggenberg","58 m","678,-","2 Zimmer","8020
    
    
        Eggenberg","Privat"
"1598196158-3034","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=10&rows=100","27m2 Wohnung NEU saniert","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/27m2-wohnung-neu-saniert-401615908/","27m2 Wohnung NEU saniert","27 m","330,-","1 Zimmer","8020
    
    
        Graz","Papst Immobilien"
"1598196119-1653","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Ehemalige Hausbesorgerdienstwohnung zu vermieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ehemalige-hausbesorgerdienstwohnung-zu-vermieten-367168071/","Ehemalige Hausbesorgerdienstwohnung zu vermieten","46 m","461,79","2 Zimmer","8020
    
    
        Graz","ENW Gem. Wohnungsges.m.b.H."
"1598196096-847","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=32&rows=100","2-ZIMMER-MAISONETTE MIT GARTEN IN RUHELAGE","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-maisonette-mit-garten-in-ruhelage-401161580/","2-ZIMMER-MAISONETTE MIT GARTEN IN RUHELAGE","54 m","643,30","2 Zimmer","8042
    
    
        Sankt Peter","Hoffmann Gudehus Immobilien"
"1598196087-574","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=35&rows=100","Sympathische 2 Zimmer Wohnung mit Balkon in Graz Liebenau. Hauptmiete.","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/sympathische-2-zimmer-wohnung-mit-balkon-in-graz-liebenau-hauptmiete-389986201/","Sympathische 2 Zimmer Wohnung mit Balkon in Graz Liebenau. Hauptmiete.","58 m","552,-","2 Zimmer","8041
    
    
        Liebenau","L&L Immobilien Service OG"
"1598196136-2205","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=18&rows=100","Liebenau: Sonnige 3-Zimmer-Wohnung im Grünen","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/liebenau-sonnige-3-zimmer-wohnung-im-gruenen-400427457/","Liebenau: Sonnige 3-Zimmer-Wohnung im Grünen","70 m","748,-","3 Zimmer","8041
    
    
        Graz","Privat"
"1598196119-1650","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Ruhige Single/ Pärchen-Wohnung nahe Jakominiplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ruhige-single-paerchen-wohnung-nahe-jakominiplatz-399198035/","Ruhige Single/ Pärchen-Wohnung nahe Jakominiplatz","61 m","688,80","2 Zimmer","8010
    
    
        Graz","grazial.at - Ihre Immobilienvermittlung"
"1598196127-1902","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=21&rows=100","Kleinwohnung im ausgebauten Dachgeschoß in St. Leonhard!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/kleinwohnung-im-ausgebauten-dachgeschoss-in-st-leonhard-302124124/","Kleinwohnung im ausgebauten Dachgeschoß in St. Leonhard!","29 m","408,91","1 Zimmer","8010
    
    
        Graz","Schauersberg Immobilien GmbH"
"1598196099-912","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","2 Zimmer-Dachgeschoßwohnung mit extra Küche - nähe Griesplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-dachgeschosswohnung-mit-extra-kueche-naehe-griesplatz-359686642/","2 Zimmer-Dachgeschoßwohnung mit extra Küche - nähe Griesplatz","47 m","469,-","2 Zimmer","8020
    
    
        Graz","First-Class Realitäten GmbH"
"1598196113-1399","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=26&rows=100","Studenten aufgepasst! ~ 4-Zimmer Neubau Wohnung mit Balkon ~ direkt bei der FH-Joanneum! ~ provisionsfreie...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/studenten-aufgepasst-4-zimmer-neubau-wohnung-mit-balkon-direkt-bei-der-fh-joanneum-provisionsfreie-vermittlung-398915273/","Studenten aufgepasst! ~ 4-Zimmer Neubau Wohnung mit Balkon ~ direkt bei der FH-Joanneum! ~ provisionsfreie...","81 m","1.062,99","4 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196119-1611","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Garconniere Zentrum privat","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/garconniere-zentrum-privat-399253474/","Garconniere Zentrum privat","25 m","310,-","1 Zimmer","8010
    
    
        Graz","Privat"
"1598196110-1333","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=27&rows=100","Gemütliche Stadtwohnung in zentraler Lage!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/gemuetliche-stadtwohnung-in-zentraler-lage-348898964/","Gemütliche Stadtwohnung in zentraler Lage!","42 m","399,-","2 Zimmer","8020
    
    
        Graz","Rustler Immobilientreuhand GesmbH"
"1598196141-2401","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=16&rows=100","+++ VOLLMÖBLIERT+++ Wunderschöne 3-Zimmer-Wohnung mit Garten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/-vollmoebliert-wunderschoene-3-zimmer-wohnung-mit-garten-394447311/","+++ VOLLMÖBLIERT+++ Wunderschöne 3-Zimmer-Wohnung mit Garten","69 m","1.077,18","3 Zimmer","8055
    
    
        Graz","Immo-Circle"
"1598196167-3290","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","PROVISIONSFREIE IMMOBILIE - FOKUS WEST","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfreie-immobilie-fokus-west-401968763/","PROVISIONSFREIE IMMOBILIE - FOKUS WEST","79 m","979,-","3 Zimmer","8020
    
    
        Graz","VONVIER GmbH, Realtreuhand"
"1598196133-2086","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","Sehr schöne möblierte 1-Zimmerwohnung mit neuer Küche","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/sehr-schoene-moeblierte-1-zimmerwohnung-mit-neuer-kueche-400207196/","Sehr schöne möblierte 1-Zimmerwohnung mit neuer Küche","47 m","505,82","1 Zimmer","8020
    
    
        Graz","Angela Eder Immobilien"
"1598196147-2644","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=14&rows=100","Herz-Jesu! Charmanter 3-Zimmer Altbauwohnung mit sep. Küche und Balkon!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/herz-jesu-charmanter-3-zimmer-altbauwohnung-mit-sep-kueche-und-balkon-401146049/","Herz-Jesu! Charmanter 3-Zimmer Altbauwohnung mit sep. Küche und Balkon!","111 m","1.229,51","3 Zimmer","8010
    
    
        Graz","grazpoint immobilien, Fuchs & Mag. Assmann OG"
"1598196085-431","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","Wohnen über den Dächern von Graz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnen-ueber-den-daechern-von-graz-364211711/","Wohnen über den Dächern von Graz","60 m","750,88","2 Zimmer","8010
    
    
        Sankt Leonhard","Immobil"
"1598196170-3431","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=6&rows=100","Gemütliche 2-Zimmer Dachgeschosswohnung nahe UNI, TU und Kunstuni - Merangasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/gemuetliche-2-zimmer-dachgeschosswohnung-nahe-uni-tu-und-kunstuni-merangasse-389179366/","Gemütliche 2-Zimmer Dachgeschosswohnung nahe UNI, TU und Kunstuni - Merangasse","37 m","530,-","2 Zimmer","8010
    
    
        Graz","Mag. Stefan Gaspar Realitäten Management KG"
"1598196099-961","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","UNI-LAGE / BESTE WG-EIGNUNG / 2-Zimmer-Altbau-Wohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/uni-lage-beste-wg-eignung-2-zimmer-altbau-wohnung-392609858/","UNI-LAGE / BESTE WG-EIGNUNG / 2-Zimmer-Altbau-Wohnung","79 m","965,-","2 Zimmer","8010
    
    
        Graz","Gewerblicher Anbieter"
"1598196107-1205","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Jakomini: Sanierte, schöne Familienwohnung, Küche unmöbliert, unbefristeter Hauptmietvertrag!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/jakomini-sanierte-schoene-familienwohnung-kueche-unmoebliert-unbefristeter-hauptmietvertrag-337338612/","Jakomini: Sanierte, schöne Familienwohnung, Küche unmöbliert, unbefristeter Hauptmietvertrag!","92 m","832,10","3 Zimmer","8010
    
    
        Graz","Brandstätter Immobilien GmbH"
"1598196170-3455","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=6&rows=100","Wohnen nähe Südtirolerplatz!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnen-naehe-suedtirolerplatz-401980601/","Wohnen nähe Südtirolerplatz!","75 m","816,15","3 Zimmer","8020
    
    
        Graz","Rustler Immobilientreuhand GesmbH"
"1598196096-793","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=32&rows=100","helle & ruhige Balkonwohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/helle-ruhige-balkonwohnung-397520736/","helle & ruhige Balkonwohnung","30 m","435,-","1 Zimmer","8010
    
    
        Graz","Privat"
"1598196130-2065","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=20&rows=100","HIER IST WOHLFÜHLEN GARANTIERT! GEMÜTLICHE 2-ZIMMER-ERSTBEZUGSWOHNUG! MIT BALKON...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/hier-ist-wohlfuehlen-garantiert-gemuetliche-2-zimmer-erstbezugswohnug-mit-balkon-fussbodenheizung-und-einbaukueche-400015236/","HIER IST WOHLFÜHLEN GARANTIERT! GEMÜTLICHE 2-ZIMMER-ERSTBEZUGSWOHNUG! MIT BALKON...","49 m","699,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196119-1677","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Studenten aufgepasst!!! Gepflegte 2- Zimmer Wohnung in Eggenberg!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/studenten-aufgepasst-gepflegte-2-zimmer-wohnung-in-eggenberg-392477794/","Studenten aufgepasst!!! Gepflegte 2- Zimmer Wohnung in Eggenberg!","42 m","509,58","2 Zimmer","8020
    
    
        Eggenberg","SK REAL Immobilien"
"1598196085-447","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","Zentrale Penthouse-Wohnung am Murradweg","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/zentrale-penthouse-wohnung-am-murradweg-395208542/","Zentrale Penthouse-Wohnung am Murradweg","54 m","840,-","2 Zimmer","8010
    
    
        Geidorf","Privat"
"1598196096-818","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=32&rows=100","JETZT BESICHTIGEN: SICHER UND KONTAKTLOS!/ Schöne 3-Zimmer-Wohnung mit Terrasse - Lazarettgürtel 100a -...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/jetzt-besichtigen-sicher-und-kontaktlos-schoene-3-zimmer-wohnung-mit-terrasse-lazarettguertel-100a-top-79-365428827/","JETZT BESICHTIGEN: SICHER UND KONTAKTLOS!/ Schöne 3-Zimmer-Wohnung mit Terrasse - Lazarettgürtel 100a -...","76 m","822,60","3 Zimmer","8020
    
    
        Graz","IVV Verkauf und Vermietungs GmbH"
"1598196087-489","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=35&rows=100","Schöne 2 Zimmerwohnung mit Terrasse, geräumiger Wohnküche und 1- Zimmer extra begehbar in Eggenberg","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schoene-2-zimmerwohnung-mit-terrasse-geraeumiger-wohnkueche-und-1-zimmer-extra-begehbar-in-eggenberg-383552367/","Schöne 2 Zimmerwohnung mit Terrasse, geräumiger Wohnküche und 1- Zimmer extra begehbar in Eggenberg","52 m","628,88","2 Zimmer","8020
    
    
        Graz","Schauersberg Immobilien GmbH"
"1598196167-3369","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","> OHNE PROVISION > TRAUMHAFTE MAISONETTE > AM GRAZER HAUPTBAHNHOF","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/-ohne-provision-gt-traumhafte-maisonette-am-grazer-hauptbahnhof-402332840/","> OHNE PROVISION > TRAUMHAFTE MAISONETTE > AM GRAZER HAUPTBAHNHOF","109 m","1.321,40","4 Zimmer","8020
    
    
        Graz","DECUS Immobilien GmbH"
"1598196102-1075","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Galeriewohnung mit traumhaftem Blick ins Grüne","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/galeriewohnung-mit-traumhaftem-blick-ins-gruene-309205984/","Galeriewohnung mit traumhaftem Blick ins Grüne","73 m","716,31","2 Zimmer","8043
    
    
        Graz","IVV Verkauf und Vermietungs GmbH"
"1598196175-3633","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=4&rows=100","Sporgasse 7 - Wohnen im Zentrum - Vollmöblierte und top ausgestattete Erdgeschoßwohnung mit italienischem Flair","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/sporgasse-7-wohnen-im-zentrum-vollmoeblierte-und-top-ausgestattete-erdgeschosswohnung-mit-italienischem-flair-346348039/","Sporgasse 7 - Wohnen im Zentrum - Vollmöblierte und top ausgestattete Erdgeschoßwohnung mit italienischem Flair","53 m","990,-","1 Zimmer","8010
    
    
        Graz","Wesiak Gesellschaft m.b.H."
"1598196110-1323","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=27&rows=100","reizende 2-Zimmer Wohnung in Geidorf - mit Balkon und Tiefgaragenplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/reizende-2-zimmer-wohnung-in-geidorf-mit-balkon-und-tiefgaragenplatz-400382846/","reizende 2-Zimmer Wohnung in Geidorf - mit Balkon und Tiefgaragenplatz","61 m","817,82","2 Zimmer","8010
    
    
        Graz","Zwach Immobilientreuhandkanzlei"
"1598196133-2146","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","Moderne 2-Zimmer Gartenwohnung in Graz Wetzelsdorf","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/moderne-2-zimmer-gartenwohnung-in-graz-wetzelsdorf-400168949/","Moderne 2-Zimmer Gartenwohnung in Graz Wetzelsdorf","52 m","748,-","2 Zimmer","8053
    
    
        Graz","RE/MAX Nova"
"1598196122-1765","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=23&rows=100","Moderne, voll eingerichtete, Singlewohnung oder Wohnung für Zweitwohnsitz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/moderne-voll-eingerichtete-singlewohnung-oder-wohnung-fuer-zweitwohnsitz-399377843/","Moderne, voll eingerichtete, Singlewohnung oder Wohnung für Zweitwohnsitz","30 m","483,-","1 Zimmer","8043
    
    
        Graz","Privat"
"1598196093-718","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Freundliche 3-Zimmerwohnung nahe Hilmteich in der Heinrichstrasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/freundliche-3-zimmerwohnung-nahe-hilmteich-in-der-heinrichstrasse-397143503/","Freundliche 3-Zimmerwohnung nahe Hilmteich in der Heinrichstrasse","80 m","842,80","3 Zimmer","8010
    
    
        Graz","Mag. Stefan Gaspar Realitäten Management KG"
"1598196090-597","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","TerrassenZauber trifft auf 88m2 Wohnfläche...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/terrassenzauber-trifft-auf-88m2-wohnflaeche-396968719/","TerrassenZauber trifft auf 88m2 Wohnfläche...","88 m","1.188,-","3 Zimmer","8020
    
    
        Graz","WAW Immobilienservices"
"1598196122-1739","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=23&rows=100","Griesplatz: 2-Zimmerwohnung in Ruhelage mit Hofbalkon","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/griesplatz-2-zimmerwohnung-in-ruhelage-mit-hofbalkon-361182618/","Griesplatz: 2-Zimmerwohnung in Ruhelage mit Hofbalkon","50 m","555,-","2 Zimmer","8020
    
    
        Gries","IMMOGRAZ"
"1598196099-909","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","PROVISIONSFREI - Garconniere in unmittelbarer Nähe zur FH JOANNEUM zu vermieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-garconniere-in-unmittelbarer-naehe-zur-fh-joanneum-zu-vermieten-391250067/","PROVISIONSFREI - Garconniere in unmittelbarer Nähe zur FH JOANNEUM zu vermieten","32 m","460,35","1 Zimmer","8020
    
    
        Graz","KETAT GrundstücksverwertungsgmbH."
